pid,SQ1,SQ2,SQ3,SQ4,SQ4_1,SQ5,SQ5_op18,SQ6,SQ7,SQ7_op6,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q2_7,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q4,q5,q5_1,q5_1_m2,q5_1_m3,q5_1_m4,q5_1_m5,q5_1_m6,q5_1_m7,q5_1_m8,q5_1_op8,q6,q6_1,q6_1_n2,q6_1_n3,q6_1_n4,q6_1_n5,q6_1_n6,q6_1_n7,q6_2_1,q6_2_2,q6_2_3,q6_2_4,q6_2_5,q6_2_6,q6_2_7,q6_2_8,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q8,q8_m2,q8_m3,q8_op8,q9_1,q9_2,q9_3,q9_4,q9_5,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q11,q12,q12_m2,q12_m3,q12_op10,q13,q14,q14_op8,q15,q15_m2,q15_m3,q15_op13,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q16_8,q16_9,q17,q17_1,q17_1_op7,q17_2,q17_2_m2,q17_2_m3,q17_2_m4,q17_2_m5,q17_2_m6,q17_2_m7,q17_3_1,q17_3_2,q17_3_3,q17_3_4,q17_3_5,q17_3_6,q17_3_7,q18,q18_m2,q18_m3,q18_op13,q19_1,q19_2,q19_3,q20_1,q20_2,q20_3,q20_4,q20_5,q20_6,q20_7,q20_8,q20_9,q21_1,q21_2,q21_3,q21_4,q22,q22_1,q22_1_m2,q22_1_m3,q22_1_op13,q23,q23_m2,q23_m3,q23_op11,q24,q25,q25_1,q25_1_op13,q26,q26_m2,q26_m3,q26_op17,q27,q28,q29,q29_1,q29_1_m2,q29_1_m3,q29_1_m4,q29_1_m5,q29_1_m6,q29_1_m7,q29_1_m8,q29_1_m9,q29_1_op9,q29_2,q29_2_m2,q29_2_m3,q29_2_m4,q29_2_m5,q29_2_m6,q29_2_m7,q29_2_m8,q29_2_m9,q29_2_op9,q29_3,q30,q31,q31_op7,q32,q32_1_1,q32_1_2,q32_1_3,q32_1_4,q32_1_5,q32_2,q32_2_m2,q32_2_m3,q32_2_m4,q32_2_m5,q32_2_m6,q32_2_m7,q32_2_op7,q32_3,q33,q33_op8,q34,q35,q36_1,q36_2,q36_3,q36_4,q37,q37_m2,q37_m3,q37_op10,q38,q38_1,q38_1_m2,q38_1_m3,q38_1_m4,q38_1_m5,q38_1_m6,q38_1_m7,q38_1_m8,q38_1_m9,q38_1_m10,q38_1_op10,q39_1,q39_2,q39_3,q39_4,q39_5,q39_6,q39_1_n2,q39_1_op7,q40,q40_1,q41,q42_1,q42_1_n2,q42_1_n3,q42_1_n4,q42_1_n5,q42_1_n6,q42_1_n7,q42_1_n8,q43,q43_m2,q43_op6,q44,q45,q45_n2,q46,q47,q47_n2,q48,q49,q50,q50_n2,q51,q51_n2,q52,q53,q54,q55,DQ1,DQ2,DQ3,DQ4,DQ5,DQ6,DQ7,DQ7_op9,DQ7_1,DQ7_1_op9,DQ7_2,DQ7_2_op9,DQ8
270,1,1,1,3,4,3, ,1,4, ,2,2,2,3,3,3,5,4,3,3,5,5,4,2,2,2,4,4,4,3,3,4,3,5,6,7, , , , , ,1,7,10,1,0,0,0,0,3,5,2,4,2,1,2,2,1,3,1,3,1,1,1,3,2, ,5,5,3,3,2,4,3,3,4,2,2,4,8,3,9, ,3,7, ,1,7,8, ,1,1,1,3,2,1,2,1,1,2, , ,5,7, , , , , , , , , ,2, ,2,1,5,12, ,3,4,5,2,3,2,2,1,4,3,4,2,5,5,4,4,2,2,4,6, ,5,8,9, ,1,1,9, ,5,1,4, ,5,6,2, , , , , , , , , , , , , , , , , , , , , ,3,5, ,2, , , , , , , , , , , , , , ,7, ,3,4,2,1,1,1,5,6,7, ,2, , , , , , , , , , , ,2,4,4,4,5,1, , ,2, ,1,5,5,5,5,5,5,5,5,2,5, ,1,1,1,5,10,0,2, ,5,0,0,30,2,4,5,4,1,45,1,1,2008,3,1, , , , , ,7
271,1,1,1,3,4,2, ,1,5, ,2,2,3,3,3,4,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,4,1,2,3,4,5,7, , , ,1,2,1,0,0,0,0,0,3,5,4,4,4,3,4,2,4,5,4,5,4,4,1,2,3, ,5,5,5,5,4,3,3,3,4,2,2,3,4,5,9, ,2,2, ,1,4,6, ,2,2,2,4,2,1,4,2,1,1,6, , , , , , , , , , , , , , , ,1,6,11, ,5,5,5,2,2,2,1,1,4,3,3,2,3,3,5,4,2,2,7,10, ,1,4,8, ,1,1,3, ,1,4,5, ,6,7,2, , , , , , , , , , , , , , , , , , , , , ,4,3, ,1,4,2,2,2,2,1, , , , , , , ,2,4, ,4,3,3,4,2,2,1,5,7, ,1,2, , , , , , , , , , ,3,3,4,5,5,5,5, ,2, ,1,5,5,5,5,5,5,5,5,2,5, ,2,2, ,5,10,0,1,2,8,0,4,0,2,2,4,5,2,25,1,1,2023,3,1, , , , , ,5
272,1,1,1,3,4,3, ,2,2, ,3,3,4,4,4,4,5,4,4,5,4,3,3,4,4,4,4,4,3,3,4,3, , , , , , , , , ,1,0,0,1,2,0,0,0,2,4,4,3,2,2,2,3,2,2,1,3,2,3,1,7,2, ,5,5,4,4,4,3,3,4,4,4,4,4,4,5,9, ,3,2, ,1,4,11, ,1,2,1,2,3,2,2,2,2,2, , ,1,3,7, , , , ,4, ,4, , , ,4,1,7,9, ,8,8,8,3,4,4,3,3,4,3,4,3,4,4,3,2,2,2,4,8, ,1,8,9, ,1,1,9, ,1,6,4, ,6,6,2, , , , , , , , , , , , , , , , , , , , , ,3,1, ,2, , , , , , , , , , , , , , ,2, ,4,3,3,3,3,2,2,7,8, ,1,3,6,8, , , , , , , , ,4,4,4,4,4,3, , ,1,4,2,4,4,4,4,4,4,4,4,2,1, ,1,1,2,5,9,0,2, ,6,30,1,0,2,2,4,4,1,53,1,1,1997,5,3, ,3, , , ,12
273,1,1,1,3,4,1, ,1,5, ,2,2,4,4,3,3,5,4,4,5,5,5,4,3,2,4,4,4,2,2,3,4,1,7, , , , , , , ,1,10,3,0,0,0,0,0,4,5,4,4,2,2,4,3,2,2,2,2,2,3,2,3,1, ,5,5,4,2,2,2,2,2,1,2,3,3,1,2,5, ,4,7, ,4,6,7, ,1,1,1,2,4,1,1,1,1,1,5, , , , , , , , , , , , , , , ,7,8,12, ,5,2,8,2,2,1,1,1,4,3,3,1,3,3,2,3,2,2,3,10, ,5,8,9, ,1,2, , ,4,1,10, ,3,8,1,2,3, , , , , , , , ,1, , , , , , , , , ,2,5,2, ,2, , , , , , , , , , , , , , ,2, ,4,2,4,4,2,1,1,5,7, ,2, , , , , , , , , , , ,2,1,3,4,5,2, , ,2, ,1,5,5,5,5,5,5,5,5,2,5, ,1,2, ,5,10,0,2, ,6,30,2,0,2,3,4,6,1,31,1,1,2017,3,5, , , , , ,5
274,1,1,1,3,4,3, ,1,4, ,3,3,3,3,3,2,4,4,5,5,5,5,4,4,4,4,4,4,4,3,2,5,1,3,4,5, , , , , ,1,8,1,1,0,3,0,0,4,5,4,5,3,2,3,3,2,2,2,3,2,2,1,3,2, ,5,5,4,4,4,4,3,2,2,2,1,3,1,2,5, ,3,4, ,4,6,8, ,2,4,2,2,4,2,2,2,2,2, , ,7, , , , , , , , , , , , ,4,1,4,5, ,6,1,3,2,1,2,1,2,3,1,2,1,5,5,5,5,1,4,8,10, ,6,8,9, ,1,1,2, ,1,15,16, ,6,8,1,2,3, , , , , , , , ,1, , , , , , , , , ,2,4,5, ,3, , , , , , , , , , , , , , ,2, ,5,3,1,2,2,2,1,3,6, ,1,2, , , , , , , , , , ,2,2,2,3,5,3, , ,2, ,4,5,5,5,5,5,5,5,5,1,5, ,1,1,2,6,13,0,2, ,5,0,1,0,2,1,4,2,1,45,1,1,2006,5,2, ,3, , , ,8
275,1,1,1,3,4,3, ,1,5, ,4,4,4,4,4,4,4,4,3,4,5,5,4,4,4,3,4,4,4,4,4,2, , , , , , , , , ,1,3,3,0,0,0,0,0,2,4,5,5,4,1,5,5,5,5,5,5,2,5,1,7,3, ,5,5,5,5,3,4,4,4,4,5,4,4,5,2,4, ,2,2, ,1,2,7, ,5,5,2,5,5,2,4,2,2,1,6, , , , , , , , , , , , , , , ,4,8,11, ,9,9,10,4,5,4,3,2,4,3,5,4,4,4,2,2,2,3,5,8, ,1,5,8, ,1,1,1, ,2,14,15, ,2,8,2, , , , , , , , , , , , , , , , , , , , , ,4,5, ,2, , , , , , , , , , , , , , ,3, ,2,2,5,5,1,1,4,5,6, ,1,1,2,3,4,5,6,8, , , , ,5,4,5,5,5,4,1, ,2, ,1,5,5,5,5,5,5,5,5,2,3, ,2,2, ,5,8,0,1,3,8,0,4,0,2,4,3,2,1,29,1,1,2021,3,7, , , , , ,5
276,1,1,1,3,4,4, ,1,5, ,4,2,4,4,5,4,5,4,4,5,5,5,4,4,2,2,4,5,4,3,2,4,1,3, , , , , , , ,1,15,1,0,0,0,0,0,5,5,5,5,5,2,5,5,5,5,3,5,4,4,1,2,7, ,5,5,5,3,3,2,2,2,4,3,4,4,5,1,3, ,2,2, ,1,6,8, ,4,5,2,4,5,3,4,4,2,2, , ,2,4, , , , , , ,5, ,3, , , ,1,2,5, ,6,6,5,2,1,1,1,1,4,2,3,2,3,2,2,3,1,2,4,6, ,1,8,9, ,1,1,11, ,1,2,4, ,5,8,2, , , , , , , , , , , , , , , , , , , , , ,2,5, ,2, , , , , , , , , , , , , , ,1, ,2,1,5,5,2,3,1,7,9, ,2, , , , , , , , , , , ,4,3,5,5,5,2, , ,1,2,2,5,5,5,5,5,5,5,5,2,3, ,2,2, ,5,12,0,2, ,5,30,2,0,1,2,5,6,1,27,1,1,2024,4,7, ,2, , , ,4
277,1,1,1,3,4,4, ,1,3, ,4,2,4,3,3,4,5,5,5,5,5,5,5,4,2,3,3,4,4,4,2,5,1,2,3,5,6, , , , ,1,3,1,0,0,0,0,0,4,4,5,4,4,4,4,4,2,4,4,5,4,3,1,6,7, ,4,5,5,5,5,4,4,4,4,4,3,4,8,3,2, ,3,2, ,1,5,11, ,4,4,4,4,4,3,4,2,2,2, , ,1,2,6, , , , ,4,4, , , ,5, ,4,6,7, ,4,3,1,2,3,4,2,1,1,1,1,1,2,4,4,4,2,2,4,8, ,3,5,8, ,2,1,2, ,11,15,2, ,6,9,2, , , , , , , , , , , , , , , , , , , , , ,4,2, ,2, , , , , , , , , , , , , , ,4, ,4,2,4,4,4,4,5,6,8, ,1,2,4,5,6,8, , , , , , ,4,3,4,5,5,5,2, ,2, ,2,4,5,5,5,4,5,5,5,2,1, ,2,2, ,5,8,30,1,1,6,0,2,0,2,3,4,4,2,51,1,1,2000,7,5, ,5, ,8, ,8
278,1,1,1,3,4,3, ,1,5, ,3,2,3,3,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,2,4,5,1,2,3,4,7, , , , ,1,10,3,1,0,0,0,0,4,5,5,5,3,2,3,2,3,5,3,4,2,4,4,1,2, ,4,5,3,4,3,4,4,3,2,2,2,3,2,1,5, ,4,7, ,1,2,7, ,2,2,1,2,2,1,2,2,3,1,5, , , , , , , , , , , , , , , ,1,2,7, ,6,5,5,3,2,2,1,1,2,2,3,2,4,4,4,4,2,2,3,4, ,1,6,7, ,1,1,1, ,1,14,10, ,6,8,2, , , , , , , , , , , , , , , , , , , , , ,4,1, ,2, , , , , , , , , , , , , , ,3, ,4,3,3,3,2,2,4,7,8, ,1,1,2,3,4,5,6, , , , , ,4,4,4,3,4,4,5, ,2, ,3,4,4,4,3,4,3,3,3,1,2, ,2,2, ,5,10,0,1,1,6,0,2,0,2,3,4,6,1,34,1,1,2019,3,3, , , , , ,5
279,1,1,1,3,4,2, ,1,5, ,3,2,3,3,4,4,4,4,3,5,5,5,4,4,2,3,3,5,4,3,2,4,3,6,7, , , , , , ,1,5,10,1,0,0,5,0,3,5,5,3,2,2,3,3,2,3,3,3,3,4,1,2,7, ,5,5,4,4,4,4,4,4,4,3,3,4,2,1,5, ,3,2, ,1,7,12, ,2,3,2,3,4,2,3,1,1,2, , ,1,4, , , , , ,3, , ,3, , , ,7,8,9, ,6,4,6,2,3,2,1,2,4,2,3,2,3,3,3,4,1,2,3,6, ,1,5,8, ,2,1,6, ,14,11,3, ,4,7,2, , , , , , , , , , , , , , , , , , , , , ,4,5, ,2, , , , , , , , , , , , , , ,3, ,4,3,2,4,2,3,1,6,7, ,1,2,4,5,7, , , , , , , ,4,2,3,3,3,4,2, ,2, ,2,4,4,4,4,3,3,3,4,2,5, ,2,2, ,5,8,0,1,1,6,30,2,0,2,3,4,4,1,38,1,1,2014,3,2, , , , , ,5
280,1,1,5,3,4,3, ,1,5, ,3,2,2,3,4,4,5,4,4,4,4,4,4,4,3,4,4,2,2,2,2,3, , , , , , , , , ,1,3,4,0,0,0,0,0,3,4,4,4,1,1,2,2,1,1,1,4,1,1,1,6,7, ,5,5,4,3,3,4,4,4,4,4,3,4,4,5,1, ,4,7, ,1,7,9, ,1,2,1,3,2,1,3,1,1,1,3, , , , , , , , , , , , , , , ,1,6,8, ,7,6,7,4,4,3,1,1,5,2,4,3,4,3,2,2,2,2,3,4, ,1,8,9, ,1,1,1, ,1,3,10, ,3,8,2, , , , , , , , , , , , , , , , , , , , , ,3,5, ,2, , , , , , , , , , , , , , ,3, ,4,2,5,4,3,3,1,5,6, ,2, , , , , , , , , , , ,3,1,4,4,4,3, , ,2, ,1,5,5,5,5,5,5,5,5,3,1, ,2,2, ,5,9,30,1,2,6,30,2,0,2,1,4,4,2,28,1,1,2019,3,5, , , , , ,7
281,1,1,2,3,4,2, ,1,5, ,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1, , , , , , , , , ,1,10,0,0,0,0,0,0,5,5,4,3,3,3,4,2,4,4,5,5,3,4,1,2,7, ,4,5,5,4,4,4,4,5,5,5,5,5,1,4,7, ,4,7, ,2,5,9, ,1,1,1,1,1,1,1,1,1,2, , ,1,5, , , , , ,5, , , ,5, , ,1,4,7, ,9,9,9,4,4,4,4,4,5,5,5,4,4,4,4,4,5, , , , ,1,5,6, ,1,2, , ,2,5,9, ,5,5,2, , , , , , , , , , , , , , , , , , , , , ,3,5, ,2, , , , , , , , , , , , , , ,1, ,3,3,3,3,3,3,2,3,4, ,1,1,5, , , , , , , , , ,4,4,4,4,4,4,2, ,1,4,3,4,4,4,4,5,4,4,4,3,4, ,2,2, ,5,9,1,2, ,7,1,2,0,1,5,4,5,1,30,2,1,2020,3,9,중어중문과, , , , ,4
282,1,1,1,3,4,2, ,2,4, ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,1,2,3,4,6,7, , , ,2, , , , , , , , , , , , , , , ,2,4,2,5,5,5,1,3,2, ,5,5,4,4,4,3,3,3,4,4,3,3,1,2,4, ,4,1, ,1,3,5, ,2,1,2,3,2,2,3,2,2,2, , ,1,6,7, , , , ,4, , , , ,4,4,1,2,4, ,7,7,7,2,4,2,2,1,4,3,3,3,3,3,3,3,2,2,5,8, ,3,5,8, ,1,1,12, ,6,1,14, ,9,6,2, , , , , , , , , , , , , , , , , , , , , ,3,1, ,2, , , , , , , , , , , , , , ,1, ,1,4,3,3,1,1,1,2,5, ,1,1,3,4, , , , , , , , ,5,4,5,4,4,5,5, ,2, ,2,4,5,4,5,4,4,5,4,1,2, ,1,1,2,5,6,0,2, ,5,0,0,30,2,4,6,4,1,46,2,1,2011,3,3, , , , , ,5
283,1,1,1,3,4,2, ,1,5, ,3,4,4,4,4,3,5,4,3,5,5,5,5,5,2,2,4,4,3,2,2,2, , , , , , , , , ,1,3,2,1,0,0,1,0,4,5,4,4,2,3,4,4,3,4,2,4,3,4,1,7,2, ,3,5,4,4,3,2,3,3,2,4,2,4,2,8,1, ,2,4, ,1,4,8, ,2,4,2,4,3,1,4,1,1,2, , ,1,4, , , , , ,4, , ,4, , , ,1,2,4, ,9,4,5,4,4,3,1,2,4,2,4,2,3,3,2,3,2,2,3,6, ,1,6,9, ,1,1,2, ,1,5,11, ,5,7,1,2,3,7, , , , , , , ,2,4,8, , , , , , , ,1,5,3, ,2, , , , , , , , , , , , , , ,3, ,5,2,2,5,4,3,1,5,6, ,1,2,3,4,5, , , , , , , ,5,2,5,4,5,2, , ,1,4,2,4,4,4,5,3,5,4,5,5,2, ,2,2, ,5,9,0,2, ,7,30,2,0,2,3,4,4,1,25,1,1,2024,3,3, , , , , ,7
284,1,1,1,3,4,6, ,1,5, ,2,2,2,2,3,2,4,4,4,4,4,4,3,3,4,2,4,2,2,2,3,4,1,2,4,6, , , , , ,1,30,0,0,0,0,0,0,4,4,4,3,4,2,3,4,4,2,3,4,3,3,3,1,7, ,4,5,4,3,2,3,4,3,4,4,3,3,2,3,8, ,3,3, ,1,7,9, ,2,2,1,2,3,1,3,2,2,1,6, , , , , , , , , , , , , , , ,1,7,9, ,6,5,6,3,2,3,3,2,3,3,3,2,3,4,3,4,2,3,7,13,편집국 내 간부의 업무 개입 등 자율성 떨어트리는 내부 문제,7,8,9, ,1,1,12, ,11,12,15, ,4,6,2, , , , , , , , , , , , , , , , , , , , , ,4,1, ,2, , , , , , , , , , , , , , ,4, ,4,4,3,2,1,2,2,5,8, ,1,3,4,6, , , , , , , , ,4,3,4,5,4,3, , ,2, ,2,4,5,4,4,4,4,5,5,1,4, ,1,1,1,5,9,0,1,1,5,0,1,0,2,3,4,4,1,39,2,1,2012,5,2, ,7, , , ,7
285,1,1,1,3,4,14, ,2,5, ,3,2,3,3,3,3,5,5,3,4,5,5,5,3,2,2,3,3,3,3,2,5,7,8, , , , , , ,"언론계 전반의 신뢰도 하락으로 이어지는 어뷰징 기사의 범람. 낚시성 제목, 뉴스 콘텐츠 품질 저하, 온라인 커뮤니티 글 퍼나르기.",1,10,3,0,0,10,0,0,5,5,3,4,2,3,3,4,2,3,2,4,1,2,1,2,6, ,5,5,4,4,4,2,3,2,3,2,1,3,5,1,2, ,3,5, ,1,4,7, ,2,2,1,5,3,1,3,2,1,2, , ,7, , , , , , , , , , , , ,5,2,7,9, ,3,3,3,1,1,1,1,1,3,3,3,3,3,3,4,4,1,2,4,10, ,1,8,9, ,2,1,3, ,11,1,10, ,4,7,2, , , , , , , , , , , , , , , , , , , , , ,3,2, ,2, , , , , , , , , , , , , , ,2, ,5,2,4,4,3,3,5,7,9, ,2, , , , , , , , , , , ,1,1,3,4,5,2, , ,2, ,3,5,4,3,4,2,4,5,4,2,5, ,2,2, ,5,9,0,1,.5,6,0,3,0,2,4,4,5,1,36,1,1,2016,3,5, , , , , ,6
286,1,1,1,3,4,3, ,2,2, ,2,2,2,2,3,3,5,5,4,4,5,5,4,2,3,3,3,3,2,2,2,4,1,2,3,4, , , , , ,1,0,1,1,1,1,0,0,4,3,2,4,3,2,3,4,4,4,4,4,4,4,7,6,3, ,5,5,5,4,3,4,3,3,4,3,4,3,1,2,5, ,3,5, ,1,4,7, ,2,4,3,3,4,2,3,2,2,2, , ,1,4,7, , , , ,3, , ,3, , ,4,1,2,5, ,3,3,4,2,2,3,3,2,3,3,3,2,4,4,3,3,2,2,3,4, ,1,5,7, ,1,1,2, ,6,5,9, ,4,7,2, , , , , , , , , , , , , , , , , , , , , ,2,1, ,2, , , , , , , , , , , , , , ,1, ,3,3,3,3,3,3,1,5,8, ,1,1,4, , , , , , , , , ,3,3,4,4,4,4,3, ,1,3,2,4,4,4,5,4,5,4,4,1,3, ,1,1,1,5,10,0,2, ,6,0,3,0,2,3,4,5,1,55,1,1,1996,7,3, ,3, ,3, ,9
287,1,1,1,3,4,3, ,1,5, ,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,3,4,2,7, , , , , , , ,1,6,4,0,4,8,3,0,3,4,4,4,3,4,3,4,3,4,3,4,3,4,1,3,4, ,3,2,3,4,4,3,4,3,4,3,3,4,2,1,3, ,3,2, ,2,8,12, ,3,3,3,2,4,4,3,3,3,1,4, , , , , , , , , , , , , , , ,2,3,4, ,5,6,5,3,3,2,3,3,4,4,3,2,3,2,3,3,2,1,2,3, ,6,7,8, ,1,1,3, ,1,12,13, ,7,7,2, , , , , , , , , , , , , , , , , , , , , ,2,3, ,2, , , , , , , , , , , , , , ,3, ,5,3,2,3,2,3,2,3,4, ,2, , , , , , , , , , , ,2,2,2,3,2,3, , ,1,2,2,2,3,2,3,3,3,3,2,2,3, ,1,1,1,6,10,0,2, ,6,0,1,0,2,2,4,5,2,38,2,1,2015,3,3, , , , , ,6
288,1,1,3,3,4,2, ,1,3, ,3,4,3,4,4,4,4,4,4,4,5,5,5,4,3,4,3,4,4,3,4,2, , , , , , , , , ,1,5,0,0,0,3,0,0,3,4,5,4,2,2,3,2,1,2,2,4,2,4,1,3,7, ,5,5,4,4,3,4,4,4,4,4,4,4,1,2,5, ,2,2, ,1,4,7, ,1,1,1,2,2,1,2,2,2,1,1, , , , , , , , , , , , , , , ,6,7,12, ,8,6,7,4,4,2,2,2,4,1,2,2,4,4,1,2,1,3,6,7, ,2,5,8, ,1,1,9, ,11,1,3, ,7,8,2, , , , , , , , , , , , , , , , , , , , , ,2,5, ,2, , , , , , , , , , , , , , ,3, ,3,4,4,4,2,2,1,5,6, ,1,3,4,8, , , , , , , , ,4,4,4,4,4,4,4, ,2, ,1,5,5,5,5,5,5,5,5,2,1, ,1,1,2,5,8,0,2, ,7,30,2,0,2,5,3,3,1,50,1,1,2001,7,3, ,3, ,3, ,10
289,1,1,1,3,4,7, ,2,5, ,2,2,3,2,4,2,4,3,2,2,4,4,3,3,3,3,3,2,2,2,3,2, , , , , , , , , ,1,6,5,0,0,0,0,0,3,3,3,4,4,2,3,5,4,4,4,5,4,3,1,3,7, ,5,5,4,4,3,4,4,3,3,4,2,3,1,2,5, ,4,2, ,6,7,11, ,2,2,2,2,3,2,2,1,1,1,2, , , , , , , , , , , , , , , ,1,9,12, ,8,6,8,2,2,2,1,1,2,2,3,2,5,5,4,3,2,2,4,6, ,3,7,10, ,2,1,2, ,6,15,1, ,8,6,2, , , , , , , , , , , , , , , , , , , , , ,3,5, ,2, , , , , , , , , , , , , , ,3, ,4,3,3,3,2,2,1,2,3, ,1,2,3,6, , , , , , , , ,4,5,5,4,4,3, , ,2, ,2,3,3,3,4,3,4,3,3,5,1, ,1,2, ,5,10,0,2, ,5,30,2,0,2,4,4,4,1,44,1,1,2010,6,3, ,3, ,3, ,7
290,1,3,3,2,3,14, ,1,5, ,1,3,3,4,4,2,5,5,4,5,5,5,5,5,1,3,4,4,1,3,4,5,1,2,5,6,7, , , , ,2, , , , , , , , , , , , , , , ,4,5,3,5,5,5,1,3,4, ,5,5,4,5,3,3,1,4,3,4,2,2,1,5,9, ,3,3, ,4,5,12, ,3,4,2,4,4,4,4,1,1,2, , ,1,4,5, , , , ,3, , ,4,2, , ,1,2,7, ,2,2,0,1,3,1,1,1,3,1,3,1,3,4,4,5,1,2,4,5, ,6,8,9, ,1,1,3, ,11,3,2, ,4,10,1,2,3, , , , , , , , ,1, , , , , , , , , ,1,5,6, ,2, , , , , , , , , , , , , , ,5, ,5,1,4,4,3,3,2,4,5, ,1,1,5,6, , , , , , , , ,2,3,5,4,4,4,5, ,2, ,3,4,5,3,5,3,5,5,5,1,3, ,2,2, ,5,8,0,1,1,6,0,2,0,2,6,6,8,2,30,1,1,2022,3,5, , , , , ,3
291,1,3,3,2,3,9, ,2,1, ,2,2,2,2,3,2,4,3,3,4,4,4,4,2,2,2,2,3,3,3,3,2, , , , , , , , , ,1,15,10,1,0,0,0,0,4,4,2,3,4,4,2,3,4,4,3,3,2,3,1,2,4, ,4,5,4,2,2,2,2,3,4,2,4,2,4,5,9, ,4,2, ,1,3,12, ,1,1,2,2,2,2,2,2,2,1,3, , , , , , , , , , , , , , , ,3,7,8, ,5,5,5,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,5,9, ,1,6,8, ,2,2, , ,4,1,11, ,6,6,1,2,7, , , , , , , , ,1,8, , , , , , , , ,1,4,2, ,2, , , , , , , , , , , , , , ,2, ,4,2,2,2,2,2,2,5,7, ,2, , , , , , , , , , , ,4,4,4,3,4,4,1, ,2, ,2,4,4,4,4,4,4,4,4,1,2, ,1,1,1,1,10,0,2, ,8,0,1,0,1,3,4,4,1,58,1,1,1993,3,1, , , , , ,9
292,1,3,3,2,3,2, ,1,5, ,2,2,3,3,4,3,4,5,3,4,4,4,5,3,2,2,4,3,2,3,2,3, , , , , , , , , ,1,10,1,0,0,0,0,0,4,4,4,4,4,3,5,4,4,4,4,4,4,4,2,3,1, ,5,5,4,3,4,4,3,4,4,3,3,3,1,5,2, ,3,2, ,1,7,8, ,3,4,4,4,4,2,3,1,1,2, , ,4,5, , , , , , , , ,4,4, , ,3,7,11, ,8,5,8,3,4,2,1,2,4,3,3,2,2,2,3,2,2,2,4,5, ,1,8,9, ,1,1,1, ,3,10,11, ,6,9,2, , , , , , , , , , , , , , , , , , , , , ,3,5, ,3, , , , , , , , , , , , , , ,7, ,4,2,4,4,4,3,1,5,7, ,1,2,3,4,5,8, , , , , , ,4,4,4,4,4,3, , ,2, ,4,4,5,4,5,5,5,4,5,1,5, ,2,2, ,4,8,0,1,1,6,30,1,30,2,4,4,6,1,41,1,1,2012,3,5, , , , , ,4
293,1,3,3,2,3,2, ,1,5, ,3,3,3,3,4,2,4,4,4,4,5,4,5,4,4,3,4,3,3,4,2,4,1,6,7, , , , , , ,1,20,2,0,0,0,0,0,4,5,4,4,4,3,4,2,4,2,4,5,4,2,1,7,6, ,5,5,4,4,4,4,3,4,4,2,3,3,1,2,5, ,4,4, ,1,3,6, ,2,2,2,4,4,3,3,2,2,2, , ,4,5, , , , , , , , ,4,4, , ,1,6,12, ,6,3,6,1,2,3,2,2,4,3,3,4,4,4,4,3,1,2,5,7, ,3,6,9, ,1,1,1, ,3,10,11, ,4,9,2, , , , , , , , , , , , , , , , , , , , , ,4,4, ,1,4,4,4,4,5,1,2,4, , , , , ,2,1, ,4,2,4,3,4,4,5,7,8, ,2, , , , , , , , , , , ,4,2,4,4,4,2, , ,2, ,3,2,4,4,4,3,2,2,3,1,5, ,2,2, ,5,7,0,1,1,7,0,4,0,2,6,6,4,2,36,2,1,2015,3,5, , , , , ,3
294,1,3,3,2,3,7, ,2,4, ,2,2,3,3,3,3,4,4,3,4,4,4,4,3,3,3,4,4,2,4,3,4,1,3,7, , , , , , ,1,8,0,0,0,0,0,0,2,2,2,3,3,2,4,5,3,2,2,5,2,1,1,2,3, ,4,5,4,3,3,2,4,4,4,3,3,3,1,2,5, ,4,7, ,6,11,12, ,4,4,3,4,4,2,3,3,3,2, , ,4,5, , , , , , , , ,4,4, , ,1,7,11, ,1,3,2,1,4,3,1,1,4,1,2,1,2,3,3,5,1,2,4,10, ,3,6,9, ,2,1,11, ,5,10,12, ,6,8,2, , , , , , , , , , , , , , , , , , , , , ,4,6, ,2, , , , , , , , , , , , , , ,3, ,3,4,1,1,2,2,5,7,10,여성을 비격무부서에 배치하려는 게 역차별,2, , , , , , , , , , , ,3,2,2,5,5,3, , ,2, ,1,5,5,5,5,5,5,5,5,5,6,태생이 수익 창출에 가까운데 양질의 정보를 기대하는 것이 앞뒤 안 맞음,1,1,2,5,7,0,2, ,6,30,3,0,2,3,2,6,1,48,1,1,2003,3,5, , , , , ,6
